Data S1. Processed proteomic data for M. capitata colony MC289 (n=2 per treatment/time point). Normalized abundance values and peptide statistics are shown for each protein identified. 																																	
Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA6021_R0	Montipora_capitata_PredGene_adi2mcaRNA6021_R0	0	FALSE	5.78	4	1	2	1	348	37.6	4.64	0	1	0	14.6	14.5	8.4	3.6	8.4	10.8		6	13.6	6.4	4.8	12.2	18.9	33.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g55691	Montipora_capitata_PredGene_g55691	0.001	FALSE	3.357	3	1	1	1	280	31.2	8.24	0	1	0	12.4	42.5	17.3	4.6	40.4	39.1	12	9	32.7	22.7	16	52	62.9	146.5	1	
FALSE	Medium	Master Protein	Q3KNV1	TREMBL:Q3KNV1;Q96GE1 Tax_Id=9606 Gene_Symbol=KRT7 keratin 7	0.014	TRUE	1.56	2	1	1	1	469	51.4	5.48	0	1	0	79.9	162.5	43.3	46.8	84.5	66.4	46.1	45.9	54.2	87.3	290.1	101.9	63.7	54.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g47167	Montipora_capitata_PredGene_g47167	0.001	FALSE	4.055	1	1	1	1	1040	116.3	6.38	0	1	0	122	122.3	50.1	46.7	91	57.4	38.5	47.4	152.2	126.9	87.2	102.9	63.2	96.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g55687	Montipora_capitata_PredGene_g55687	0	FALSE	17.111	5	5	7	5	1295	131.5	8.47	4.34	5	0	110.9	152.2	98.1	27.3	187.5	171.9	48.8	48.7	180.1	68.6	27.8	111.3	238.4	473.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g35935	Montipora_capitata_PredGene_g35935	0	FALSE	23.763	17	7	7	7	325	36.7	4.77	2.44	7	0	728.1	864.1	463.7	218.7	774.5	612.1	198.9	157.5	924.5	330.8	252	561.8	1045.1	1781	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g43945	Montipora_capitata_PredGene_g43945	0	FALSE	23.659	8	5	7	5	905	96.6	9.16	5.64	5	0	111.8	121.9	40	54.9	122.7	80.9	42.3	37.5	153.8	97.1	64.9	60.5	55.7	74.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g21657	Montipora_capitata_PredGene_g21657	0	FALSE	17.335	21	3	5	3	273	30.9	4.92	11.63	3	0	252.3	290.3	88.8	133.2	179	97.7	59.5	53.5	314.5	303.3	165.4	106.9	155.5	179.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g60691	Montipora_capitata_PredGene_g60691	0	FALSE	7.337	6	3	3	3	702	79.2	8.15	2.91	3	0	77.9	114.7	42.8	34.1	147.1	136.6	12.2	14.9	92.5	79.1	15.7	54.7	93.2	124.3	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g54595	Montipora_capitata_PredGene_g54595	0.04	FALSE	1.089	11	1	1	1	81	9.4	10.24	2.11	1	0	76.5	79.6	19.4	51.2	55.1	49.2	49.1	76.1	152.8	171.6	159.9	125.7	37	62.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g25062	Montipora_capitata_PredGene_g25062	0	FALSE	29.292	18	10	12	10	556	61.9	4.84	12.91	10	0	522.5	642.1	209.8	267.8	388.5	354.2	689.9	570.5	475.6	881.1	1004.3	918.7	439.9	988.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g35898	Montipora_capitata_PredGene_g35898	0	FALSE	6.213	1	1	1	1	1015	113.5	7.55	3.5	1	0	208.4	226.6	171.9	46.1	206.1	161.4	78.7	101.5	44	166.5	81.8	273.7	208.2	196.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g29284	Montipora_capitata_PredGene_g29284	0	FALSE	41.742	28	12	16	12	506	57.8	5.52	9.53	12	0	401.9	500.4	177.8	190.9	240.6	226.5	527.9	431.7	409.6	796.8	843.3	755.9	245.3	727.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g19936	Montipora_capitata_PredGene_g19936	0	FALSE	22.711	5	5	6	5	1404	157.1	5.21	0	5	0	367.8	357.4	116.4	196.9	267.6	142.3	122.6	131.4	487.9	338.7	244.2	280.1	181.4	232.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA10296_R0	Montipora_capitata_PredGene_adi2mcaRNA10296_R0	0.006	FALSE	2	2	1	1	1	414	41.4	11.81	0	1	0	49.8	35.5	11.5	27.8	20.4	21.5	23.1	32.8	50.7	81.7	50.4	39.8	22.9	46.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g46178	Montipora_capitata_PredGene_g46178	0	FALSE	12.65	7	2	2	2	611	66.9	8.19	2.51	2	0	15.7	17.8	10	5.1	18.5	13.8	7.3	6.7	8.2	9.4	10.6	11.4	15.7	36.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g23331	Montipora_capitata_PredGene_g23331	0	FALSE	10.967	13	3	3	3	260	29.2	4.64	0	3	0	520.5	616.6	208.4	285.1	272.3	276.4	265.2	257	659.2	711.1	564.5	564.2	250.5	541	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g28165	Montipora_capitata_PredGene_g28165	0.007	FALSE	1.895	1	1	2	1	601	67.6	8.63	4.04	1	0	25.8	17.4	14.3	5.9	14.5	15.8	6.2	6.8	44	16.6	7.2	8.5	11.9	18.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g25068	Montipora_capitata_PredGene_g25068	0	FALSE	6.918	8	2	3	2	369	41.5	4.22	2.18	2	0	39.3	51.6	22.3	17.4	38.1	18.4	14.4	16.3	41.9	49.2	37.6	20.9	50.3	56.6	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g12401	Montipora_capitata_PredGene_g12401	0.003	FALSE	2.193	1	1	1	1	1002	110.1	8.19	0	1	0	23.8	107	26.2	18.9	12.1	47	31	35.8	35.4	9.6	11.1	4	26.8	3.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g46139	Montipora_capitata_PredGene_g46139	0	FALSE	6.935	3	3	3	3	1147	131.3	6.67	2.62	3	0	9.2	11.4	5.5	3.8	12.5	12.3	10.6	8.6	11	10.6	9.2	6.4	8.4	10.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g33395	Montipora_capitata_PredGene_g33395	0	FALSE	4.675	17	1	1	1	102	11.7	4.91	2.46	1	0	26.4	34.1	11	16.9	12.9	13.2	14.3	13.6	41.6	50.9	23.8	32.9	12.8	36.3	1	
FALSE	High	Master Protein	P02538	"SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A"	0	TRUE	33.945	16	8	8	1	564	60	8	9.47	8	1	53.4	87	23.6	41.8	35.2	21.1	24.2	31.7	19.4	64.4	188.7	37.5	44.7	24.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g54037	Montipora_capitata_PredGene_g54037	0.001	FALSE	3.189	3	1	1	1	368	41.5	7.93	0	1	0	29.3	41.9	25.6	10.4	52.8	48.4	18.1	17.6	5	28.2	27.6	321.8	81.8	153.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g42003	Montipora_capitata_PredGene_g42003	0	FALSE	30.042	37	5	11	5	166	16.8	8.62	28.28	5	0	223.8	216.8	91	115.9	162.2	162	87.6	53	206.1	213.1	99.9	76.9	143.6	179.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g15776	Montipora_capitata_PredGene_g15776	0	FALSE	6.651	21	2	2	2	125	13.6	5.96	1.63	2	0	329.7	212.2	88.8	171.7	238.1	211.6	130.1	164	202.8	469.3	228.1	118.2	347.8	442.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g18729	Montipora_capitata_PredGene_g18729	0	FALSE	12.59	14	3	3	3	251	27.4	5.47	3.07	3	0	31.1	27.7	12.4	15.3	21.1	18.6	14.6	11.1	31.4	36.9	25.9	19.1	28.2	52.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g37578	Montipora_capitata_PredGene_g37578	0	FALSE	20.343	1	6	6	6	5726	638.3	4.91	4.79	6	0	224.2	276.1	109	125.8	146.5	235.6	56.2	54	82.3	141.7	69	193.6	107.2	142.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g70558	Montipora_capitata_PredGene_g70558	0	FALSE	5.293	2	2	2	2	809	92.1	9.39	0	2	0	20.6	19.7	7.1	12.7	18.5	13.7	10.6	12.2	16.7	16.8	11.5	18	10.4	13	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g3333	Montipora_capitata_PredGene_g3333	0.001	FALSE	3.824	1	2	2	2	1502	170.4	5.2	2.05	2	0	128.3	118.4	48	70.4	108.9	87.5	97.6	103.5	119.1	220.9	174.3	195.1	138.8	215.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g62404	Montipora_capitata_PredGene_g62404	0	FALSE	34.533	36	8	22	8	209	22.8	4.44	21.51	8	0	684.7	811.4	306.7	409.5	448.3	434.5	569	506.7	771.8	930.3	766.5	799.6	410.4	917	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA36659_R0	Montipora_capitata_PredGene_adi2mcaRNA36659_R0	0	FALSE	8.844	6	2	2	2	419	46.1	8.54	2.15	2	0	70.1	112.7	92.2	19.3	111.8	118	57.4	60.6	119.2	50.2	58.2	83.7	74.3	86	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g6370	Montipora_capitata_PredGene_g6370	0	FALSE	19.345	20	4	5	4	240	27.1	4.45	4.5	4	0	308.9	396.4	139.8	200.7	205.3	175.3	162.7	152.4	376	421.7	368.3	296.2	169	348.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g52840	Montipora_capitata_PredGene_g52840	0	FALSE	10.299	17	1	2	1	142	16.3	9.23	5.66	1	0	113.3	51.6	27.8	48.9	19.5	18.8	31.1	25.6	43.3	64.9	43.1	32.1	16.6	38.6	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g31475	Montipora_capitata_PredGene_g31475	0	FALSE	35.646	4	10	10	10	3446	382.7	6.9	12.61	10	0	204.3	400.1	218.8	87.4	203.3	225.8	286.2	317.1	263.9	280.9	221.9	225.1	341.3	271.5	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g44129	Montipora_capitata_PredGene_g44129	0.001	FALSE	3.936	4	2	2	2	414	45.8	9.99	1.76	2	0	11.4	8.2	5.9	3.8	15.7	10.6	7.5	6.3	18.5	6		28	20.6	34.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g61747	Montipora_capitata_PredGene_g61747	0.001	FALSE	3.654	5	2	2	2	583	64.4	9.14	1.95	2	0	30.3	25.6	11.5	16.3	23.2	21.1	18.9	19.6	18	39.7	28.6	32.3	25.7	34.6	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g32754	Montipora_capitata_PredGene_g32754	0	FALSE	13.113	4	3	3	3	899	105	7.53	5.02	3	0	143.3	167.9	66.9	87.7	214.3	114	69.1	69.8	187.9	109	82.1	96.3	112.2	84.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g29788	Montipora_capitata_PredGene_g29788	0	FALSE	24.912	20	6	7	6	269	30.8	6.16	5.07	6	0	280.8	437.9	174.4	179.9	301.3	316.5	87.9	68.5	87.6	177.3	104.4	151.7	94.6	200.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g39289	Montipora_capitata_PredGene_g39289	0.002	FALSE	2.285	4	1	1	1	240	27.1	4.96	0	1	0	9.1	10.7	6.1	4.1	6.7	12.3	6.7	3	8.2		2.7	9.5	9.8	19.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g23756	Montipora_capitata_PredGene_g23756	0	FALSE	29.044	2	12	13	12	6578	717.1	6.93	6.41	12	0	99.1	93.5	48.7	48.9	90.2	110.8	36.3	44.7	112.4	167.7	59.5	51.8	79.2	102.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g34424	Montipora_capitata_PredGene_g34424	0	FALSE	5.714	5	2	2	2	419	47.3	8.37	0	2	0	688.2	555.3	379.8	258.8	597.6	429.1	107.7	103.3	710.8	351.1	149.7	994.4	504.2	820.4	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g4671	Montipora_capitata_PredGene_g4671	0.027	FALSE	1.266	2	1	1	1	625	68.5	5.07	0	1	0	32.8	53.4	25.1	18.3	41.5	38.6	15.4	15.4	53.3	14.9	14	43.1	37.4	87.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g52471	Montipora_capitata_PredGene_g52471	0	FALSE	25.87	4	7	8	7	1847	201.6	4.88	9.85	7	0	150.7	122.7	36.6	133	121.5	114.4	210.5	187.4	73.1	187.6	324.1	197.3	110.4	205.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g41902	Montipora_capitata_PredGene_g41902	0	FALSE	14.024	6	2	3	2	627	67.8	8.31	0	2	0	77.5	116	51.4	46.2	97.1	80.5	88.8	95.2	147.7	76.3	72	64.3	51.9	54.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA7669_R0	Montipora_capitata_PredGene_adi2mcaRNA7669_R0	0	FALSE	6.048	2	2	2	2	1629	185	8.34	2.28	2	0	10.9	9	6.3	4.1	7.8	9.1	3.8	10.2	6.4	6.3	5.3	11	14.3	10.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g63469	Montipora_capitata_PredGene_g63469	0	FALSE	4.756	3	1	1	1	406	44.5	4.53	0	1	0	12.3	12.9	5.6	7.6	16.5	9.5	12.4	14.8	9.7	10.1	10.4	12.5	11.8	12.6	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g58965	Montipora_capitata_PredGene_g58965	0.022	FALSE	1.369	10	1	1	1	82	9.1	4.84	1.72	1	0	16.7	13.1	6.1	9.5	8.5	10.5	15.8	9	20.1	17.6	19.2	16.4	10	16.1	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g48542	Montipora_capitata_PredGene_g48542	0.027	FALSE	1.287	2	1	1	1	598	66.2	6.21	0	1	0	90.2	91.1	48.6	45.8	83.5	71.1	45.7	41.7	70.3	70.9	47.9	55.2	61.9	68.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g69055	Montipora_capitata_PredGene_g69055	0.001	FALSE	3.72	11	2	2	2	230	25.5	5.25	2.52	2	0	122.3	135	54.2	83.1	71.5	102.7	79.4	47.3	108.9	124.7	75.3	61.6	86.3	108	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g25546	Montipora_capitata_PredGene_g25546	0	FALSE	7.101	3	1	1	1	677	76.9	8.88	0	1	0	52.1	49.4	25.8	27.4	37.4	30.5	32.6	37.3	38.5	63.1	45	50.5	36.8	58.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g38103	Montipora_capitata_PredGene_g38103	0	FALSE	11.679	10	2	3	2	246	28.7	5.24	3.75	2	0	22.2	11.3	6.1	11.3	10.5	11.2	8.8	9.8	12.8	18.1	15.3	13.7	10.8	17.9	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA19080_R0	Montipora_capitata_PredGene_adi2mcaRNA19080_R0	0.012	FALSE	1.648	5	1	1	1	283	32.1	6.24	0	1	0	58.6	80	23.7	54.6	31.6	33.7	62.7	51.9	87.2	113.4	111.5	160.8	33.4	102.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g46347	Montipora_capitata_PredGene_g46347	0	FALSE	64.459	39	10	58	10	375	41.3	4.93	61.94	10	0	981.8	2152.2	1036.1	572.7	1570.6	1492.5	1587.8	1688.1	481.3	1568.2	1088.5	5372.9	2828.3	4113.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g3082	Montipora_capitata_PredGene_g3082	0.002	FALSE	2.696	2	1	1	1	513	57.1	4.97	0	1	0	63.9	104.6	40.6	46.4	65.2	44.8	40	39.4	76.9	65.3	49.6	68.8	56.1	67.1	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g48131	Montipora_capitata_PredGene_g48131	0	FALSE	8.922	7	2	4	2	298	32.4	7.05	7.07	2	0	271.7	508.9	177.7	220	380.3	370.2	281.9	370.2	234.7	416.9	319.5	698.3	265.9	351.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g43034	Montipora_capitata_PredGene_g43034	0	FALSE	20.199	14	3	4	3	310	36.1	9.28	4.49	3	0	159.8	186.3	92.6	92	223.5	120	107.1	103.8	136.2	123.7	150.9	109.3	129.8	112.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g24099	Montipora_capitata_PredGene_g24099	0	FALSE	7.253	15	2	2	2	172	18.4	9.13	1.91	2	0	10	17.1	6.3	7.8	6.2	5.8	10.8	10.5	13.7	24.1	17	21.2	11.1	14	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g64464	Montipora_capitata_PredGene_g64464	0	FALSE	12.144	5	2	3	2	714	78.9	5.88	5.74	2	0	128	178.2	120.8	55.4	163.8	149.9	57.8	47.8	165.8	70.3	59.4	140.3	184.2	252	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g16572	Montipora_capitata_PredGene_g16572	0.002	FALSE	2.392	2	1	1	1	483	53.5	6.47	0	1	0	17.5	17.5	11	8.2	11	13.5	10.5	5.9	14.6	13.7	6.9	14.7	10.9	14.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g34004	Montipora_capitata_PredGene_g34004	0	FALSE	31.823	31	8	11	8	242	27.7	4.36	10.71	8	0	909.5	763.8	420.7	491.2	543.9	510.4	535.5	601.3	778.1	1034.5	837.6	800.9	840.7	930.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g16448	Montipora_capitata_PredGene_g16448	0.001	FALSE	2.855	4	1	1	1	381	41.3	6.21	0	1	0	24.4	29.4	10.1	21.2	18.8	16.8	12.7	22.3	16.4	21.2	19	20.3	16.2	20.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g28083	Montipora_capitata_PredGene_g28083	0	FALSE	15.443	8	2	2	2	398	45.9	6.43	0	2	0	92.6	98.4	55.1	49.4	62.7	49.4	67.7	69	120.8	99.9	91.6	94.1	59.4	75	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g38388	Montipora_capitata_PredGene_g38388	0	FALSE	9.422	4	3	3	3	930	104.2	5.22	2.31	3	0	151.1	125.7	72	79.1	136.7	105.8	89.8	78.7	126.3	124.6	107.3	96.1	143.9	125.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g31298	Montipora_capitata_PredGene_g31298	0	FALSE	8.598	17	2	2	2	163	17.9	10.04	2.52	2	0	51	31.4	15.2	31.5	20.2	21.3	44.6	42.1	34.7	67.5	72.4	71.7	28.9	58.9	1	
FALSE	High	Master Protein	P02769	SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	0	TRUE	34.128	18	10	11	9	607	69.2	6.18	14.61	10	0	1167	2260.9	742.9	1069.8	839.5	826.9	1046.1	1209.4	1203.6	1088.6	1047.6	1245.6	1780.5	1549.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g64617	Montipora_capitata_PredGene_g64617	0.001	FALSE	3.018	3	1	1	1	356	40.9	6.87	0	1	0	10.5	16.4	8.9	5.9	13.5	7.3	3.9	7.2	9.7	7.8	3.9	6.5	3.6	8.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA15301_R0	Montipora_capitata_PredGene_adi2mcaRNA15301_R0	0	FALSE	29.104	23	6	11	3	326	36.5	4.75	14.07	6	0	400.8	510.2	335.8	185.6	578.9	514	267.7	305	293.4	308.9	249	878.8	309.5	434.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g17597	Montipora_capitata_PredGene_g17597	0	FALSE	10.833	24	3	3	3	192	21.5	4.87	3.88	3	0	33.4	25.1	14.3	17.9	5.5	18.7	27	20.7	29.2	25.3	41.1	31.7	16.5	23	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g29572	Montipora_capitata_PredGene_g29572	0.006	FALSE	1.974	2	1	1	1	375	45.2	9.48	2.26	1	0	143.5	138.9	73.1	83.4	129.1	84.3	79.6	81.4	131.3	118.8	85.8	70.4	118.6	86.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g15581	Montipora_capitata_PredGene_g15581	0	FALSE	6.985	11	2	2	2	285	32.3	5.81	3.35	2	0	13.2	16	8.9	7.2	10.4	14.6	11.4	6.5	10.3	14.9	14.7	8.8	12.6	14.8	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g30600	Montipora_capitata_PredGene_g30600	0	FALSE	6.856	13	3	3	2	203	23.4	5.26	0	3	1	103.9	92.8	63	47.3	70	86.7	41	26.7	49.8	87.3	36.5	76	64.1	82.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g67736	Montipora_capitata_PredGene_g67736	0	FALSE	8.646	4	4	5	4	886	99.5	6.84	0	4	0	220	254.2	150.7	115.3	210.5	209.2	139.8	165.5	185.1	169.4	119.8	286.2	221	253.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g26312	Montipora_capitata_PredGene_g26312	0.001	FALSE	4.31	5	1	1	1	216	24.5	5.62	1.86	1	0	16.3	28.3	20	7.1	41.9	63.7	6.1	6.8	12.3	9.5	4.3	7.8	17.6	12.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g45489	Montipora_capitata_PredGene_g45489	0	FALSE	24.045	12	6	8	6	560	64.1	4.97	10.53	6	0	179.6	85.6	54.6	87.9	80.3	75.3	76.5	68.4	9.9	114.8	66.4	64.2	69.8	95.9	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g57156	Montipora_capitata_PredGene_g57156	0.001	FALSE	2.969	3	1	1	1	352	38.6	8.82	2.03	1	0	135.5	173.2	107.8	68.1	162	163.9	70.7	47.6	168.2	95.4	55.7	172.3	228.7	398.1	1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g14229	Montipora_capitata_PredGene_g14229	0.027	FALSE	1.272	5	1	1	1	207	23	11.47	0	1	0	14.4	21.2	8.4	11.3	14.4	10.9	12.5	9.8	21.1	17.2	16	12.7	9.7	13.8	1	
